name,honor,class,LWHonor,standing,rank,rankProgress,RP
Geraltr,12362,DRUID,129872,1311,8,0.12156863464043,30608
Hunts,34823,HUNTER,804170,33,11,0.85882358020172,49295
Reiju,185,PALADIN,883,6284,5,0.98823535256088,19942
Salazir,6534,MAGE,47026,2723,5,0.12941177235916,15648
Kissnow,598,WARRIOR,71270,2196,3,0.7490196521394,8746
Saltynshady,372,ROGUE,1358,5742,1,0.43137257453054,0
Reritease,5407,WARLOCK,14045,3951,7,0.65098043065518,28255
Myato,58552,DRUID,607405,71,10,0.49803924513981,42491
Polumonokok,160,PRIEST,72076,2183,3,0.81176475388929,9059
Thirsty,7548,PALADIN,80175,2037,4,0.71372553240508,13569
Annagongzhu,2863,HUNTER,10736,4150,4,0.023529413156211,10118
Kaura,14558,WARRIOR,154557,1036,7,0.16470589209348,25824
Dolove,3532,MAGE,46035,2747,3,0.91764711309224,9589
Tog,1753,WARRIOR,167338,922,6,0.26274511357769,21314
Bugs,134,ROGUE,4248,4811,7,0.38039217935875,26902
Rens,1070,PRIEST,221296,476,9,0.72549023898318,38628
Sisteryang,11310,HUNTER,90236,1887,3,0.7607843587175,8804
Laoguan,19639,PALADIN,503,7100,1,0.3372549219057,0
Zeltahu,19480,MAGE,400515,169,5,0.070588239468634,15353
Lightmoon,51344,MAGE,737209,49,10,0.87450985563919,44373
Longnose,2704,ROGUE,56719,2502,4,0.070588239468634,10353
Ayrus,4044,PALADIN,59780,2427,2,0.72549023898318,4177
Kallas,9961,PRIEST,39594,2944,6,0.13333334121853,20667
Boomtime,133,PALADIN,0,0,0,0,0
Chenyu,3488,ROGUE,214165,533,3,0.58039219118655,7902
Benben,36034,MAGE,600964,72,10,0.66666670609266,43334
Lettusa,1494,HUNTER,2363,5185,1,0.66666670609266,0
Cpk,9413,PALADIN,14813,3912,3,0.23921570042148,6197
Jo,1847,HUNTER,19946,3659,3,0.29803923331201,6491
Hakija,10055,MAGE,59341,2435,3,0.76862749643624,8844
Shivaskank,10246,DRUID,192821,726,7,0.40784316137433,27040
Iggy,176,WARRIOR,80170,2038,4,0.74117651442066,13706
Syys,18189,HUNTER,109778,1572,3,0.59607846662402,7981
Travellers,24822,HUNTER,103929,1674,3,0.18823530524969,5942
Yokee,10447,MAGE,89505,1896,3,0.60392160434276,8020
Clarkwd,2508,MAGE,21263,3608,2,0.78431377187371,4353
Lestra,9682,HUNTER,53459,2577,5,0.098039221484214,15491
Fivehive,176,PRIEST,136853,1223,7,0.56862748460844,27844
Happyjiang,12245,MAGE,141529,1168,7,0.3490196284838,26746
Hilding,34662,WARRIOR,193206,722,7,0.80392161617056,29020
Honcho,995,PRIEST,3552,4922,10,0.32549021532759,41628
Avalange,573,WARRIOR,508,0,3,0.098039221484214,5491
Dididiboom,3418,HUNTER,235157,390,9,0.18431373639032,35922
Dewdrops,140,WARRIOR,97629,1768,4,0.24705883814022,11236
Malgom,269,PRIEST,194805,708,4,0.23137256270275,0
Mome,27818,DRUID,512537,95,8,0.81960789160803,34099
Bentsoul,683,HUNTER,402,7384,1,0.12156863464043,0
Darkwaldoqt,1238,WARLOCK,212495,543,8,0.73725494556129,33687
Raisins,4473,MAGE,25306,3445,2,0.3490196284838,3048
Frostpain,10550,MAGE,37412,3030,3,0.92156868195161,9608
Wnaidu,5662,MAGE,196780,692,5,0.050980395171791,15255
Daul,14029,DRUID,12,0,0,0,0
Beavka,197,PALADIN,48265,2693,4,0.39215688593686,11961
Flyingpotato,5018,MAGE,209850,558,6,0.9725490771234,24863
Sahula,40866,MAGE,633027,68,11,0.87450985563919,49373
Banjo,6605,HUNTER,324130,223,8,0.53725493373349,32687
Warlockapp,5755,HUNTER,404680,161,9,0.13333334121853,35667
